Model                                                                                                      , Total Parameters (B), Max Tokens, Pooling Method, Is Instructed, Query Prefix       , Document Prefix
[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B)                                  ,                0.596,    32768.0, last          , no           , n/a                , n/a
[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B)                                                ,                0.596,     8192.0, last          , yes          , n/a                , n/a
[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2)            ,                0.149,     8192.0, cls           , no           , n/a                , n/a
[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B)                                         ,                1.543,    32768.0, last          , no           , n/a                , n/a
[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M)                                            ,                0.08 ,    40960.0, last          , yes          , n/a                , n/a
[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding)                                ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1)                                 ,                0.137,     8192.0, mean          , no           , 'search_document: ', 'search_query: '
[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M)                                          ,                0.159,    40960.0, last          , yes          , n/a                , n/a
[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding)                                                ,                4.022,    32768.0, last          , no           , n/a                , n/a
[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B)                                       ,                7.567,    32768.0, last          , yes          , n/a                , n/a
[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B)                                       ,                4.022,    32768.0, last          , yes          , n/a                , n/a
[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2)                                                   ,                7.85 ,    32768.0, last          , yes          , n/a                , n/a
[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base)                             ,                0.149,     8192.0, mean          , no           , 'search_document: ', 'search_query: '
[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1)        ,                0.212,     8192.0, mean          , no           , n/a                , n/a
[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct)                      ,                7.099,    32768.0, last          , yes          , n/a                , n/a
[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b)                                  ,                4.0  ,    32768.0, mean          , no           , n/a                , n/a
[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral)                           ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1)                                          ,                7.069,    32768.0, last          , yes          , n/a                , n/a
